person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21,24000,RENT,4.0,HOMEIMPROVEMENT,C,9600,14.27,1,0.4,N,4
24,135000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,10000,,0,0.07,N,3
35,77268,MORTGAGE,11.0,EDUCATION,C,7500,11.03,0,0.1,N,7
28,107364,MORTGAGE,12.0,DEBTCONSOLIDATION,A,8000,6.76,0,0.07,N,9
29,89000,RENT,1.0,EDUCATION,A,28800,7.49,1,0.32,N,6
29,56048,RENT,4.0,PERSONAL,A,4800,6.39,0,0.09,N,6
25,58650,RENT,7.0,MEDICAL,D,5600,14.84,1,0.08,N,4
23,60000,MORTGAGE,7.0,PERSONAL,C,2000,14.26,0,0.03,Y,3
28,142000,MORTGAGE,3.0,EDUCATION,B,18000,10.38,0,0.13,N,8
30,31200,RENT,0.0,EDUCATION,C,3100,13.35,0,0.1,N,10
31,54000,MORTGAGE,5.0,MEDICAL,F,19400,18.53,1,0.36,N,10
30,52000,MORTGAGE,4.0,EDUCATION,C,4200,,0,0.08,Y,6
27,60000,RENT,3.0,VENTURE,F,7000,19.47,0,0.12,N,7
29,52000,MORTGAGE,6.0,MEDICAL,B,7800,10.36,0,0.15,N,9
24,55000,RENT,5.0,HOMEIMPROVEMENT,A,10000,5.42,0,0.18,N,2
25,52000,RENT,3.0,EDUCATION,B,7200,12.69,0,0.14,N,3
32,30000,RENT,3.0,MEDICAL,D,3600,14.11,1,0.12,Y,9
24,36500,MORTGAGE,0.0,EDUCATION,C,7000,13.16,0,0.19,Y,4
31,75000,RENT,2.0,VENTURE,A,6000,7.68,0,0.08,N,10
26,36000,RENT,2.0,PERSONAL,D,4000,14.54,1,0.11,N,2
29,44000,RENT,4.0,DEBTCONSOLIDATION,C,12000,15.96,1,0.27,Y,7
26,63000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,3800,12.04,0,0.06,Y,4
22,34992,RENT,1.0,PERSONAL,B,5000,,0,0.14,N,3
25,50000,RENT,0.0,EDUCATION,A,2900,8.0,0,0.06,N,4
25,30000,RENT,3.0,VENTURE,D,10500,16.29,1,0.35,N,2
31,24000,RENT,2.0,MEDICAL,A,1800,8.59,0,0.07,N,6
30,120000,RENT,0.0,HOMEIMPROVEMENT,A,4800,7.4,0,0.04,N,8
24,54000,MORTGAGE,5.0,MEDICAL,B,9000,11.14,0,0.17,N,4
38,72000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,6000,5.99,0,0.08,N,11
31,29000,MORTGAGE,6.0,PERSONAL,D,5000,15.99,0,0.17,N,7
21,30000,RENT,5.0,VENTURE,B,10000,11.99,1,0.33,N,4
24,122000,RENT,4.0,EDUCATION,B,15000,11.58,0,0.12,N,3
31,28000,RENT,1.0,MEDICAL,B,2600,10.08,0,0.09,N,7
23,90000,RENT,5.0,MEDICAL,A,8000,6.92,0,0.09,N,3
22,49920,MORTGAGE,1.0,EDUCATION,C,10000,12.53,0,0.2,N,3
25,85000,RENT,7.0,MEDICAL,E,20000,17.39,1,0.2,N,2
33,51000,MORTGAGE,12.0,MEDICAL,A,7200,6.76,0,0.14,N,5
34,128000,MORTGAGE,14.0,HOMEIMPROVEMENT,A,12325,8.49,1,0.1,N,5
38,313000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,21600,,0,0.07,Y,16
25,46500,RENT,1.0,EDUCATION,B,6000,8.88,0,0.13,N,2
30,33000,RENT,4.0,MEDICAL,C,1000,14.79,0,0.03,N,10
28,50000,RENT,12.0,DEBTCONSOLIDATION,B,10000,10.74,0,0.2,N,8
30,120000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,3000,11.49,0,0.03,N,8
39,31200,RENT,2.0,PERSONAL,B,6400,11.49,0,0.21,N,15
22,40000,MORTGAGE,1.0,EDUCATION,A,4800,5.42,0,0.12,N,2
29,158000,OWN,13.0,VENTURE,A,11000,8.49,0,0.07,N,7
26,69912,MORTGAGE,9.0,VENTURE,A,8000,6.99,0,0.11,N,2
23,100000,MORTGAGE,5.0,MEDICAL,B,8000,11.49,0,0.08,N,4
25,45000,MORTGAGE,7.0,EDUCATION,A,7500,8.0,0,0.17,N,3
33,34000,RENT,5.0,VENTURE,B,2400,11.99,0,0.07,N,9
31,33600,MORTGAGE,3.0,VENTURE,A,7000,7.14,0,0.21,N,9
24,118000,RENT,5.0,HOMEIMPROVEMENT,A,7000,8.49,0,0.06,N,2
23,85000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7000,8.63,0,0.08,N,2
23,60000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,7200,,0,0.12,N,2
26,38100,MORTGAGE,6.0,VENTURE,A,3900,7.9,0,0.1,N,3
30,65000,RENT,4.0,HOMEIMPROVEMENT,A,24000,7.9,1,0.37,N,5
30,26400,RENT,14.0,DEBTCONSOLIDATION,C,3250,14.35,1,0.12,N,9
24,176004,MORTGAGE,2.0,DEBTCONSOLIDATION,B,3200,10.0,0,0.02,N,4
33,77000,RENT,7.0,HOMEIMPROVEMENT,D,13000,,0,0.17,N,7
30,48000,RENT,4.0,MEDICAL,A,7500,7.49,0,0.16,N,6
26,61200,RENT,9.0,PERSONAL,B,3200,9.91,0,0.05,N,2
23,60000,MORTGAGE,7.0,EDUCATION,A,15000,7.9,0,0.25,N,3
26,77368,RENT,1.0,VENTURE,B,15000,10.0,0,0.19,N,3
44,80000,MORTGAGE,28.0,VENTURE,D,25000,15.33,0,0.31,Y,17
25,54000,MORTGAGE,7.0,EDUCATION,B,5500,10.59,0,0.1,N,4
33,32004,RENT,3.0,PERSONAL,A,4000,8.32,0,0.12,N,9
27,140000,MORTGAGE,4.0,PERSONAL,B,2800,11.99,0,0.02,N,9
28,48879,RENT,4.0,PERSONAL,B,5000,12.42,0,0.1,N,7
30,30000,RENT,1.0,PERSONAL,B,14500,,1,0.48,N,8
24,43000,MORTGAGE,8.0,DEBTCONSOLIDATION,D,10000,16.89,1,0.23,N,4
25,94000,MORTGAGE,1.0,VENTURE,E,25000,,1,0.27,Y,2
36,15000,OWN,2.0,PERSONAL,C,5000,13.92,1,0.33,Y,15
23,75000,MORTGAGE,7.0,VENTURE,B,5400,12.69,0,0.07,N,2
22,30000,RENT,,EDUCATION,A,4350,6.03,0,0.14,N,4
54,53700,RENT,1.0,HOMEIMPROVEMENT,D,29850,,1,0.56,Y,28
26,60000,RENT,10.0,DEBTCONSOLIDATION,A,16000,7.49,0,0.27,N,2
34,30000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,4300,7.9,0,0.14,N,5
21,37000,RENT,0.0,PERSONAL,B,4000,10.08,0,0.11,N,3
27,36000,MORTGAGE,6.0,VENTURE,B,4000,11.49,0,0.11,N,9
34,103000,MORTGAGE,5.0,VENTURE,A,3525,5.42,0,0.03,N,8
23,150000,RENT,4.0,EDUCATION,B,25000,10.36,0,0.17,N,3
25,85000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,24000,10.99,0,0.28,N,4
24,74700,MORTGAGE,4.0,VENTURE,B,19750,11.12,0,0.26,N,3
28,131040,MORTGAGE,0.0,MEDICAL,C,10000,13.35,0,0.08,Y,7
25,25000,RENT,1.0,HOMEIMPROVEMENT,B,8000,12.42,1,0.32,N,3
30,114132,MORTGAGE,1.0,DEBTCONSOLIDATION,D,14400,14.54,1,0.13,N,10
22,30000,RENT,1.0,EDUCATION,B,6000,10.65,0,0.2,N,2
24,73399,RENT,0.0,EDUCATION,D,27000,,1,0.37,N,2
43,30000,RENT,0.0,PERSONAL,C,11525,13.57,1,0.38,Y,17
34,38769,MORTGAGE,3.0,DEBTCONSOLIDATION,A,2400,8.9,0,0.06,N,6
