id,smiles,cyp3a4
ID_291,C=CCSc1[n]cccc1C(=O)NCc1ccc(C)cc1,1
ID_2528,CCOC(=O)CC(NC(=O)c1occc1)c1ccc(OC)cc1,0
ID_1620,O=C(NC(\C(=C\CCC)\CCC)c1ccc(C(F)(F)F)cc1)c1sccc1,1
ID_1685,CCCC/C=C/C(NC(=O)c1sccc1)c1ccccc1,1
ID_1619,COC(=O)c1ccc(C(NC(=O)c2sccc2)\C(=C\CCC)\CCC)cc1,1
ID_2529,O=C(NC(CC(=O)OCC)c1ccc(OCC)cc1)c1sccc1,0
ID_8759,O=C(NCc1ccccc1)c1ccoc1C,1
ID_7249,O=C(NCc1ccccc1)c1cc(C)o[n]1,0
ID_7761,O=C(NCc1ccc(C)cc1)c1[n][n][n](c2cc(ccc2)C)c1N,1
ID_10517,O=C(NCc1ccccc1)c1c[n]c2SCC[n]2c1=O,0
ID_1816,CCCCN(Cc1ccccc1)C(=O)c1c[n]c2SCC[n]2c1=O,0
ID_5489,O=C(NCc1ccc(OC)cc1)c1[n]cc(C)[n]c1,1
ID_10522,O=C(NCc1c(Cl)cccc1)c1[n]cc[n]c1,1
ID_10502,O=C(NCc1ccc(Cl)cc1)c1[n]cc[n]c1,0
ID_7266,O=C(NCc1c(C(F)(F)F)cccc1)c1c[n][n]2c(cc(C)[n]c12)C(F)F,0
ID_5491,O=C(NCc1ccc(OC)cc1)c1[n]c(Cc2ccc(OC)cc2)sc1,1
ID_5575,O=C(NCc1c(OC)cccc1)c1[n]c(Cc2ccc(OC)cc2)sc1,1
ID_5490,O=C(NCc1ccc(OC)cc1)c1[n]c(Cc2ccc(Cl)cc2)sc1,1
ID_10519,O=C(NCc1ccccc1)c1sc(=S)[n]2c3c(c(=O)[nH]c12)cccc3,1
ID_8118,O=C(Nc1c(C)cccc1C)C(=O)NCc1[n]cccc1,0
ID_10523,O=C(NCc1[n]cccc1)C1CC(=NO1)c1cc(c(cc1)Cl)Cl,1
ID_11006,OC(=O)[C@@H]1[C@@H](C(=O)NCc2[n]cccc2)[C@H]2O[C@H]1C=C2,0
ID_10524,O=C(NCc1[n]cccc1)[C@@H]1C[C@H]1[C@H](c1ccccc1)NP(=O)(c1ccccc1)c1ccccc1,1
ID_10525,O=C(NCc1[n]cccc1)[C@H]1C[C@@H]1[C@@H](c1ccccc1)NP(=O)(c1ccccc1)c1ccccc1,1
ID_7231,O=C(NCc1[n]cccc1)c1c(cc(=O)oc1C)C,0
ID_7870,O=C(NCc1[n]cccc1)c1cc(S(=O)(=O)Nc2cc(c(cc2)C)C)c(Cl)cc1,1
