id,smiles,cyp3a4
ID_11971,OCCN(CO)CO,0
ID_12119,OC(CN=N#N)CN=N#N,0
ID_9630,NCCCCN,0
ID_9820,N[C@H](CC(=O)O)C(=O)O,0
ID_397,O[C@@H](CC(=O)C)[C@@H](NC(=O)OC(C)(C)C)C(C)C,0
ID_748,OCCNCC(C)(C)C,0
ID_841,O=C(NCCCO)[C@@H](O)C(CO)(C)C,0
ID_59,C#CCOCCCC(=O)O,0
ID_1730,CCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,0
ID_9626,NCCCCCCCCCCN,0
ID_462,O=C(C)NBr,0
ID_9763,OCCCC[C@H](N)C(=O)O,0
ID_9822,OC(=O)[C@H](N)CCC(=O)NCS(=O)(=O)O,0
ID_1499,ClC(C(NC(=O)CC)NC(=O)CC)Cl,0
ID_9586,OC(=O)C(=O)NNC(=N)N,0
ID_9659,NCC[C@@H](N)CSP(=O)(O)O,0
ID_9651,NCCS(=O)(=O)O,0
ID_2456,OCCCN=C(N)\C(=C(\O)/OCC)\C(=O)OCC,0
ID_92,O=C(O)[C@H](N)/C=C(\C)/CP(=O)(O)O,0
ID_4774,O[C@H](P(=O)(OC)OC)C(Cl)(Cl)Cl,0
ID_1728,CCCCCCC/C=C\CCCCCCCCC(=O)O,0
ID_9625,NCCCCC(=O)O,0
ID_3668,CN(CC(=O)O)CC(=O)O,0
ID_9764,O=C(O)[C@@H](N)CCCCP(=O)(O)O,0
ID_9821,N[C@@H](C(=O)O)CCC(=O)NCC(=O)O,0
ID_4395,OC[C@H]([C@H](C)\C=C/CC(=O)N[C@H](C(=O)OC)CCSC)OC,0
ID_1751,O=C(NC[C@H](OCC)COP(=O)(O)OCC[N+](C)(C)C)CCCCCCCCCCCCCCC,1
ID_1748,CCCCCCCCCCCCCCCC(=O)C(F)(F)F,0
ID_9653,NCCSCCC(=O)O,0
ID_2346,CCN=C=NCCCN(C)C,0
ID_9577,O=C(O)CCCNC(=N)N,0
ID_9440,N/C(=N\O)/CC\C(=N\O)\N,0
ID_10922,O=P(CC(=O)N[C@@H](CC(=O)O)C(=O)O)(O)O,0
ID_9766,O=C(O)[C@@H](N)CCP(=O)(O)O,0
ID_835,CC(C)(CN)CN,0
ID_1752,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,0
ID_6968,O=C(O)[C@@H](N)[C@H](C)OP(=O)(O)O,0
ID_1678,O=C(CCCCCCCCCCCCC)N[C@@H](OC)[C@@H](O)\C=C/CCCCCCCCCCCCCCC,0
ID_954,N#CCN(CC(C)C)CC(C)C,0
ID_9652,NCCS(=O)O,0
ID_4778,OC(=O)[C@@H](OC)NC(=O)N,0
ID_9613,O=P(O)(N)N(CCCl)CCCl,0
ID_6699,N[C@H](CCSC)P(=O)(O)C,0
ID_1914,CC[C@@H](CCCC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC[C@@H](CC)CCCC,0
ID_188,CN(CC(=C)Br)CC(=C)Br,0
ID_3480,NCCNCCN(C)C,0
ID_1151,O[C@@H](CC(=O)OC(C)(C)C)[C@@H](NC(=O)OC(C)(C)C)C(C)C,0
ID_6692,O=C(O)[C@@H](CCCN=C(SC)N)N,0
ID_2342,CCN=C(N)CSS(=O)(=O)O,0
ID_1718,CCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,0
ID_9623,NCCC(=O)O,0
ID_9660,NCC[C@H](N)C(=O)O,0
ID_10957,OCC(=O)[C@H]([C@@H]([C@@H](C(=O)O)O)O)O,0
ID_7053,N[N+](CCC[N+](N)(C)C)(C)C,0
ID_11580,ClC(Cl)(P(=O)(O)O)P(=O)(O)O,0
ID_731,O=C(CP(=O)(O)O)C(C)(C)C,0
ID_1753,O=C(NC[C@H](OCC)COP(=O)(O)OCC[N+](C)(C)C)CCCCCCCCCCCCCCCCC,1
ID_4227,O=C(OC)[C@@H](N)CCCNC(=N)NN(=O)=O,0
ID_32,C#CCCCCCCCCCCCCCCCC(=O)O,0
ID_11578,O=P(OP(=O)(O)O)(O)O,0
ID_12115,OC(=O)[C@@H](N)CCC(=O)C=N#N,0
ID_3042,CCSC[C@@H](N)C(=O)O,0
ID_1754,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,0
ID_11969,OCCSCCCO,0
ID_11576,O=P(CCP(=O)(O)O)(O)O,0
ID_9709,O=C(N)NN,0
ID_10879,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,0
ID_7010,O=C(O)[C@](N)(C)COP(=O)(O)O,0
ID_4057,O=C(C\C=C/[C@@H](C)[C@@H](/C=N\OC)OC)OC,0
ID_9637,NCCC[C@@H](N)C(=O)O,0
ID_1739,CCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,0
ID_9765,O=C(O)[C@@H](N)CCCP(=O)(O)O,0
ID_10924,S[C@@H](CC(=O)O)C(=O)O,0
ID_7034,C[N+](CCCCCC[N+](C)(C)C)(C)C,0
ID_9776,O=C(O)[C@@H](N)CSS(=O)(=O)O,0
ID_7092,N[C@@H](CC[S@](=O)(=N)C)P(=O)(O)O,0
ID_9770,O=C(O)[C@@H](N)CS(=O)O,0
ID_9761,N[C@@H](CC(=O)O)C(=O)O,0
ID_10866,O=C(O)CCN(=O)=O,0
ID_9615,OC[C@@H](NC(=O)CN)C(=O)O,0
ID_3447,N=C(N)NCCCN(C)C,0
ID_3040,CCSCCCC(=O)O,0
ID_3380,NC(=N)NC(=N)N(C)C,0
ID_665,O=C(C)SCC[N+](C)(C)C,0
ID_3999,CN[C@H](CC(=O)O)C(=O)O,0
ID_6929,OC[C@@H](NC(=O)[C@@H](Br)C)C(=O)O,0
ID_1729,CCCCCCCC(=O)NNC(=O)CCC(=O)O,0
ID_6704,CS[C@@H](CC(=O)O)C(=O)O,0
ID_4391,OC[C@@H](C(=O)N[C@H](C(=O)OC)C)C,0
ID_6951,N[C@@H](C)CCCC(O)(C)C,0
ID_749,O=S(OCC(C)(C)C)OCC(C)(C)C,0
ID_1749,CCCCCCCCCCCCCCCC(=O)NC(C)C,0
ID_3119,CC[N+](CC)(CC)CC,0
ID_209,C=C(CC(=O)O)C(=O)O,0
ID_2465,CCOC(=O)C([C@H](O)C(C)C)(C)C,0
ID_2532,NCCCC(=O)OCC,0
ID_3062,CC[C@H](N(=O)=O)CS(=O)(=O)O,0
ID_9455,N=C(N)SCCSC(=N)N,0
ID_1745,OC[C@H](NC(=O)C)[C@H](O)\C=C/CCCCCCCCCCCCC,0
ID_1535,CCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,0
ID_58,C#CCOC(=O)[C@@H](CC(=O)N)N,0
ID_9642,NCCNC(=S)S,0
ID_649,OC(=O)C[C@@H](OC(=O)C)C[N+](C)(C)C,0
ID_9812,N[C@@H]([C@H](N)C(=O)O)C(=O)O,0
ID_9560,O=C(O)CCSC(=S)N,0
ID_3946,O=C(NC)OCC[N+](C)(C)C,0
ID_3041,CCSCC[C@H](N)C(=O)O,0
ID_10962,S[C@H](C(=O)O)[C@H](S)C(=O)O,0
ID_9509,ICC(=O)N,1
ID_1760,CCCCCCCCCCCCCCSCC(=O)O,0
ID_9636,NCCCS(=O)(=O)O,0
ID_1128,Br[C@H](C(C)C)C(=O)NCC(=O)O,0
ID_11562,O=C(NCCCl)N(CCCl)N=O,0
ID_6698,O=C(O)[C@H](CCSC)N(C)C,0
ID_2803,CCOC(=S)SCC(=O)O,0
ID_10890,O=C(O)CNCP(=O)(O)O,0
ID_833,O=C(O)C(CCP(=O)(O)O)(C)C,0
ID_517,OC(=O)[C@@H](NC(=O)C)CC(C)C,0
ID_9827,OC[C@@H](N)C(=O)NCC(=O)O,0
ID_12006,OC[C@H](S)CS,0
ID_9826,ClC[C@@H](N)C(=O)O,0
ID_10840,O=C(O)CCCCCCCC(=O)O,0
ID_1856,CCCCNN,0
ID_9453,NCCCSC(=N)N,0
ID_4389,OC[C@H]([C@@H](\C=C/CC(=O)N[C@H](C(=O)OC)C)C)OC,0
ID_3491,OS(=O)(=O)SCCN(C)C,0
ID_69,C#C[C@H](N)CCC(=O)O,0
ID_478,CC(=O)NCC(=O)N[C@@H](C(=O)O)CCC(=O)O,0
ID_867,OC\C=C(\CCC=C(C)C)/C,0
ID_6813,N[C@@H](C[C@H](C)C(=O)O)C(=O)O,0
ID_1746,CCCCCCCCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,0
ID_1209,CC(C(=O)O)(CC(=O)O)CC(=O)O,0
ID_6801,C[C@H](C(=O)O)CCC(=O)O,0
ID_9648,NCCOC[C@H](N)C(=O)O,0
ID_10766,O=C(\C(=C\C(=O)O)\CC(=O)O)O,0
ID_9633,ON=N(=O)N(CCCN)CCCCNCCCN,0
ID_1744,OC[C@H](N)[C@H](O)\C=C/CCCCCCCCCCCCC,0
ID_2821,O=C(C)NC(P(=O)(OCC)OCC)C(Cl)(Cl)Cl,0
ID_9650,NCCP(=O)(O)O,0
ID_379,O=C(/C(=N\O)/C)C,0
ID_7033,O=CC[N+](C)(C)C,0
ID_516,CC(=O)N[C@@H](CC(=O)O)C(=O)O,0
ID_1035,CC(N(CC(=O)O)CC(=O)O)C,0
ID_840,OCC([C@@H](C(=O)NCCC(=O)O)O)(C)C,0
ID_1791,CCCCC[C@H](O)CCCC(=O)O,0
