id,smiles,cyp3a4
ID_10190,O=C(CNS(=O)(=O)c1sc(Br)cc1)N1CCC(N2CCCCC2)CC1,0
ID_10191,O=C(CNS(=O)(=O)c1sccc1)N1CCC2(OCCO2)CC1,0
ID_917,O=C(NCCN1CCN(c2ccccc2)CC1)C(C(C)C)NS(=O)(=O)c1sccc1,1
ID_918,O=C(Nc1[n]c(cs1)C(C)(C)C)C(C(C)C)NS(=O)(=O)c1cccs1,1
ID_3665,O=C(CN(C)S(=O)(=O)c1[nH]c[n]c1)N1CCN(c2ccccc2)CC1,1
ID_2977,O=C(Nc1cc(OCC)ccc1OCC)CN(C)S(=O)(=O)c1[nH]c[n]c1,1
ID_3213,CCc1cc(NC(=O)CN(C)S(=O)(=O)c2[nH]c[n]c2)ccc1,1
ID_1019,OC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NP(=O)(O)O[C@@H]1O[C@@H](C)[C@H]([C@H]([C@H]1O)O)O)Cc1c[nH]c2c1cccc2,0
ID_10193,Br/C(=C\c1ccccc1)/C=N/NC(=O)CNc1c2c(ccc1)cccc2,0
ID_2851,CCOc1cc(/C=N/NC(=O)CNc2cc(C)ccc2)ccc1OC(=O)c1ccccc1,0
ID_7864,Cc1ccc(NCC(=O)N\N=C\c2ccc(OC(=O)c3occc3)cc2)cc1,1
ID_2937,CCOc1ccc(N(C(C(=O)N\N=C(\c2cc(NC(=O)c3ccccc3)ccc2)/C)C)S(=O)(=O)C)cc1,0
ID_8753,O=C(N\N=C\c1oc(C)c(c1)Br)CN(c1c(Br)cccc1)S(=O)(=O)C,1
ID_6593,O=C(N\N=C\c1sccc1)CN(c1c(c(Cl)ccc1)Cl)S(=O)(=O)C,1
ID_201,O=C(N/N=C1\C[C@H](CC=C1C)C(=C)C)CNc1c(OC)cccc1,1
ID_7865,O=C(N\N=C/c1oc(N(=O)=O)cc1)CNc1ccc(C)cc1,1
ID_5734,O=C(CN(c1cc(OC)ccc1OC)S(=O)(=O)C)N1CCc2c(C1)cccc2,0
ID_2161,CCN(CC(=O)NC1CCS(=O)(=O)C1)c1c(cc(S(=O)(=O)C)cc1)N(=O)=O,0
ID_6720,O=C(Nc1cc(SC)ccc1)CN(c1ccccc1)S(=O)(=O)N(C)C,0
ID_2164,CCN(CC(=O)Nc1c(OC)cc(N(=O)=O)cc1)c1ccccc1,1
ID_7694,O=C(Nc1c(Oc2ccccc2)ccc(Cl)c1)CN(c1c(C)ccc(c1)C)S(=O)(=O)C,1
ID_7790,O=C(Nc1cc(Cl)ccc1Oc1ccccc1)C(C)N(S(=O)(=O)C)c1ccc(C)cc1,1
ID_726,O=C(Nc1c(Sc2ccccc2)cccc1)C(C)N(S(=O)(=O)C)c1ccccc1,1
ID_10192,O=C(CNc1cc(ccc1)Cl)c1ccc(Cl)cc1,0
ID_2818,CCOCc1c[n]c([n]c1NCC(=O)c1c2c([nH]c1C)cccc2)C,0
ID_5131,O=C(Nc1cc(C(F)(F)F)ccc1)CN(C)c1[n]c([n]o1)c1ccc(OC)cc1,1
ID_7608,O=C(CNc1[n]c2[n](C)c(=O)[nH]c(=O)c2[n]1Cc1ccccc1)c1ccc(C)cc1,1
ID_3171,CCc1ccc(C(=O)COC(=O)C(NC(=O)C2CCC(C)CC2)Cc2ccccc2)cc1,1
ID_4133,COC(=O)C1C(C(=O)OCC(=O)c2ccccc2)C2CC1CC2,0
ID_10196,Clc1c[n]c(NC(=O)COC(=O)C2CCN(S(=O)(=O)c3cc(N(=O)=O)ccc3Cl)CC2)c(c1)Cl,1
ID_7952,Cc1c(NC(=O)COC(=O)CCC(=O)c2sccc2)cc(S(=O)(=O)N2CCOCC2)cc1,1
ID_5635,O=C(Nc1cc(c(cc1)OC)OC)COC(=O)CCCc1c[nH]c2c1cccc2,1
ID_7961,CC(OC(=O)CNS(=O)(=O)c1ccc(C)cc1)C(=O)Nc1[n]cc(cc1Cl)Cl,0
ID_10197,O=C(OCC(=O)Nc1ccc(OC(F)(F)F)cc1)COc1ccccc1,0
ID_8069,O=C(OCC(=O)Nc1sc2cc(ccc2[n]1)C)CSc1[n]c(cc(C)[n]1)C,0
ID_5636,Cc1[n]c2c([n]1CC(=O)OCC(=O)Nc1cc(c(cc1)OC)OC)cccc2,0
ID_7233,Clc1ccc(C(=O)COC(=O)c2c(cc(=O)oc2C)C)cc1,0
ID_5247,COc1ccc(C(=O)COC(=O)c2ccc(NC(=O)c3ccccc3)cc2)cc1,0
ID_5325,COc1ccc(C(=O)Nc2ccc(C(=O)OCC(=O)c3ccccc3)cc2)cc1,0
ID_7406,O=C(Nc1cc(o[n]1)C)COC(=O)c1ccc(NS(=O)(=O)c2cc(c(cc2)C)C)cc1,1
ID_5638,O=C(Nc1cc(c(cc1)OC)OC)COC(=O)c1ccc(OCc2c([n]oc2C)C)cc1,1
ID_6491,COc1c(NC(=O)COC(=O)c2ccc(S(=O)(=O)NCc3occc3)cc2)cccc1,1
ID_7610,O=C(OCC(=O)c1cc(c(C)cc1)C)c1cc2c(cc1)C(=O)N(c1c3c([n]ccc3)ccc1)C2=O,1
ID_2688,CCOC(=O)c1c(c([nH]c1C)C(=O)OCC(=O)NC1CCS(=O)(=O)C1)C,0
ID_10198,O=C(NCc1occc1)COC(=O)c1cc(S(=O)(=O)N2CCN(c3ccccc3)CC2)ccc1,1
ID_6505,Cc1cc(NC(=O)COC(=O)c2cc(S(=O)(=O)Nc3c(OC)cccc3)ccc2)[n]o1,1
ID_9915,Fc1cc(Br)ccc1NC(=O)COC(=O)c1c(N)cccc1,1
ID_2689,O=C(COC(=O)c1ccc(S(=O)(=O)N(CC)CC)cc1)c1c(C(=O)OCC)c([nH]c1C)C,1
ID_1524,CCC(=O)Nc1c(C(=O)OCC(=O)c2ccccc2)cccc1,0
ID_1515,CCC(=O)Nc1ccc(C(=O)OCC(=O)c2cc(c(C)cc2)N(=O)=O)cc1,1
ID_7611,O=C(COC(=O)c1c(N2C(=O)C3C(C2=O)C2CC3CC2)cccc1)c1cc(c(cc1)C)C,1
ID_2686,CCOC(=O)c1c(c([nH]c1C)C(=O)COC(=O)c1c(NC(=O)c2occc2)cccc1)C,1
ID_10199,O=C(NCc1occc1)COC(=O)c1c(Nc2ccc(SC(F)F)cc2)cccc1,1
ID_8237,O=C(NCc1occc1)COC(=O)c1ccccc1Nc1c(c(C)ccc1)C,1
ID_3546,O=C(Nc1ccc(S(=O)(=O)N(C)C)cc1)COC(=O)c1[n]cccc1,0
ID_3016,CCOc1[n]cccc1C(=O)OCC(=O)Nc1cc(C)ccc1C,0
ID_10202,Clc1[n]cccc1C(=O)OCC(=O)c1ccccc1,0
ID_10203,O=C(OCC(=O)NCc1cc2c(cc1)OCO2)c1c(Nc2cc(C(F)(F)F)ccc2)[n]ccc1,1
ID_8070,Brc1oc(C(=O)OCC(=O)Nc2sc3cc(C)ccc3[n]2)cc1,1
ID_7260,O=C1CCCN1CCCNC(=O)COC(=O)c1cc(C)[n]c2c1cccc2,0
ID_2108,O=C(Nc1cc(S(=O)(=O)N2CCOCC2)ccc1)COC(=O)c1c(CC)c(CCC)[n]c2c1cccc2,0
ID_2112,Cc1cc(c2c([n]1)cccc2)C(=O)OC(CC)C(=O)Nc1sc(CCC)[n][n]1,1
ID_10204,O=C(NCc1ccccc1)COC(=O)c1[n]cc[n]c1,0
ID_8402,Clc1ccc(NC(=O)COC(=O)c2[n]cc(C)[n]c2)cc1,0
ID_8727,O=C(NC(c1ccccc1)c1ccccc1)COC(=O)c1c([n]oc1C)C,0
ID_8387,Cc1[n]2[n]c([n]c2[n]cc1)C(=O)OCC(=O)Nc1cc2c(cc1)OC(O2)(F)F,0
ID_4958,O=C(Nc1cc(cc(c1)OC)OC)COC(=O)c1[n]c2[n]c(cc([n]2[n]1)C)C,0
ID_6211,Cc1[n]2[n]c([n]c2[n]cc1)C(=O)OCC(=O)Nc1cc(OC)ccc1,0
ID_10205,O=C(CON1C(=O)c2c(C1=O)cccc2)c1ccccc1,0
ID_9008,O=C(NCc1ccc[n]c1)COc1cc(=O)[n](C)c2c1cccc2,1
ID_2155,CCN(c1cc(Cl)ccc1)C(=O)COc1c2c([n](C)c(=O)c1)cccc2,1
ID_3262,CC[n]1c2c(c(OCC(=O)Nc3ccc[n]c3)cc1=O)cccc2,1
ID_10206,O=C(N\N=C\c1c(Br)cccc1)COc1ccc(c2ccccc2)cc1,1
ID_2129,CC(=O)c1ccc(NC(=O)COc2ccc(c3[n]c4[n](c(=O)[n](c(=O)c4[nH]3)CCC)CCC)cc2)cc1,0
ID_2478,CCOC(=O)C1=C(C)N(CC(C)C)C(=O)\C1=C/c1ccc(OCC(=O)Nc2ccccc2)cc1,0
ID_4862,N#C/C(=C/c1cc(OC)c(OCC(=O)Nc2c(C)cccc2)cc1)/c1[n]c2c([nH]1)cccc2,1
ID_7311,O=C(NCc1occc1)COc1ccc(/C=N/NC(=O)CSCc2cc(cc(c2)C)C)cc1,1
ID_4884,O=C(Nc1ccc(c(c1)C)C)COc1c(OC)cc(\C=N/Nc2ccc(N(=O)=O)cc2)cc1,1
ID_4473,N#CC1=C(N)Oc2c(C1c1cc(OC)c(OCC(=O)Nc3ccc(C(=O)OC)cc3)cc1)ccc1c2cccc1,0
ID_4919,N#CC1=C(N)Oc2c(C1c1cc(OC)c(OCC(=O)Nc3c(C)cccc3)cc1)ccc1c2cccc1,1
ID_5639,O=C(Nc1ccc(OC)cc1)COc1c(cc(CNCCCN2CCOCC2)cc1)OC,0
ID_2862,CCOc1c(c(Br)cc(c1)CNCCCN1CCOCC1)OCC(=O)Nc1cc(C(F)(F)F)ccc1,1
ID_5451,O=C(NCCc1ccc(OC)cc1)COc1c(Cl)cc(S(=O)(=O)NC2CCCCC2)cc1,1
ID_3695,O=C(COc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1)N1CCOCC1,0
ID_7872,O=C(Nc1cc(N(=O)=O)ccc1)COc1c(cc(S(=O)(=O)Nc2ccc(C)cc2)cc1)C,1
ID_2718,CCOC(=O)c1c2c(cc(OCC(=O)N\N=C\c3ccc(Cl)cc3)cc2)[n]2ccccc12,0
ID_2087,CCCc1cc(=O)oc2cc(OCC(=O)N3CCc4c3cccc4)ccc12,1
ID_7238,O=C(Nc1sc(CC(C)C)[n][n]1)COc1ccc2c(C)cc(=O)oc2c1,0
